Token	POS-Tag	OOV	Id	Index	Documento
O	DET	0	1	0	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
atacante	NOUN	0	1	1	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
marcou	VERB	0	1	2	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
dois	NUM	0	1	3	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
gols	NOUN	0	1	4	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
na	ADP	0	1	5	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
vitória	NOUN	0	1	6	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
decisiva	ADJ	0	1	7	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
de	ADP	0	1	8	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
ontem	ADV	1	1	9	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
à	ADP	0	1	10	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
noite	NOUN	0	1	11	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
,	PUNCT	0	1	12	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
garantindo	VERB	0	1	13	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
a	DET	0	1	14	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
classificação	NOUN	0	1	15	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
do	ADP	0	1	16	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
time	NOUN	0	1	17	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
para	ADP	0	1	18	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
as	DET	0	1	19	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
quartas	NOUN	0	1	20	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
de	ADP	0	1	21	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
final	NOUN	0	1	22	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
do	ADP	0	1	23	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
campeonato	NOUN	0	1	24	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
nacional	ADJ	0	1	25	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
.	PUNCT	0	1	26	O atacante marcou dois gols na vitória decisiva de ontem à noite , garantindo a classificação do time para as quartas de final do campeonato nacional .
A	DET	0	2	0	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
atleta	NOUN	0	2	1	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
brasileira	ADJ	0	2	2	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
quebrou	VERB	0	2	3	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
o	DET	0	2	4	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
recorde	NOUN	0	2	5	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
sul-americano	ADJ	1	2	6	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
na	ADP	0	2	7	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
prova	NOUN	0	2	8	A atleta brasileira quebrou o recorde sul-americano na prova dos 100 metros rasos durante o circuito mundial de atletismo em Paris .
